behaviorSpaceRun,moranI,terr,mem,numPred
2,0.2467667765453288,None,Shared,1
3,0.2625662794177584,None,Shared,1
4,0.25280265033427,None,Shared,1
5,0.24377695778546238,None,Shared,1
6,0.22631415671820224,None,Shared,1
7,0.30836123394181075,None,Shared,1
8,0.2780086293856218,None,Shared,1
9,0.2411187048857841,None,Shared,1
10,0.24937451966296156,None,Shared,1
11,0.24277435285434593,None,Shared,1
12,0.2601208585784064,None,Shared,1
13,0.25428080073923864,None,Shared,1
14,0.2343773146212963,None,Shared,1
15,0.31144201316703,None,Shared,1
16,0.22490869375423642,None,Shared,1
17,0.27293291826814187,None,Shared,1
18,0.2517409098416008,None,Shared,1
19,0.26250282097865796,None,Shared,1
20,0.265160407578355,None,Shared,1
21,0.2595739716655457,None,Shared,1
22,0.28044105416476794,None,Shared,1
23,0.28077335464910014,None,Shared,1
24,0.25292456824620485,None,Shared,1
25,0.2624644358715532,None,Shared,1
26,0.24785713455180597,None,Shared,1
27,0.2929396577024679,None,Shared,1
28,0.24168545726869456,None,Shared,1
29,0.23250037470281146,None,Shared,1
30,0.21300383191553843,None,Shared,1
31,0.28387595695794887,None,Shared,1
32,0.26599904482550285,None,Shared,1
33,0.25068583500472635,None,Shared,1
34,0.29254304162827327,None,Shared,1
35,0.24548292451112225,None,Shared,1
36,0.28295049454766596,None,Shared,1
37,0.2638962622376168,None,Shared,1
38,0.24263867886623772,None,Shared,1
39,0.2492527626115992,None,Shared,1
40,0.2834387435697398,None,Shared,1
41,0.24639627949410178,None,Shared,1
42,0.2690715529052729,None,Shared,1
43,0.251370401594606,None,Shared,1
44,0.2802788578482546,None,Shared,1
45,0.23652042003443455,None,Shared,1
46,0.2561690633628924,None,Shared,1
47,0.2712384753585752,None,Shared,1
48,0.27254023508484465,None,Shared,1
49,0.26403334691960717,None,Shared,1
50,0.26612003119348226,None,Shared,1
51,0.19067517690926244,None,Shared,2
52,0.19471615377874646,None,Shared,2
53,0.17764781618565123,None,Shared,2
54,0.20409224180069996,None,Shared,2
55,0.2530223522015514,None,Shared,2
56,0.22829200227627033,None,Shared,2
57,0.21964401931388797,None,Shared,2
58,0.24256022562725568,None,Shared,2
59,0.22429328519808858,None,Shared,2
60,0.20454676305905276,None,Shared,2
61,0.23424937554639008,None,Shared,2
62,0.24250090858563744,None,Shared,2
63,0.22175833520793675,None,Shared,2
64,0.22196797341756033,None,Shared,2
65,0.2620501542387168,None,Shared,2
66,0.2433984106701997,None,Shared,2
67,0.22167448944290782,None,Shared,2
68,0.21620660236822903,None,Shared,2
69,0.24979371298428227,None,Shared,2
70,0.20603204819857088,None,Shared,2
71,0.22416188117429978,None,Shared,2
72,0.2202915553534022,None,Shared,2
73,0.21691226985538337,None,Shared,2
74,0.210130152743491,None,Shared,2
75,0.2096914515934102,None,Shared,2
76,0.2501496997163908,None,Shared,2
77,0.18027166896786428,None,Shared,2
78,0.17153139619433455,None,Shared,2
79,0.18912501730879022,None,Shared,2
80,0.1975527030507651,None,Shared,2
81,0.18889703190778584,None,Shared,2
82,0.23562962432641474,None,Shared,2
83,0.23326082229009942,None,Shared,2
84,0.20387874388930521,None,Shared,2
85,0.2300129410627992,None,Shared,2
86,0.18485633290950984,None,Shared,2
87,0.23325071528734873,None,Shared,2
88,0.21410358297318313,None,Shared,2
89,0.21085433562445496,None,Shared,2
90,0.2064194447810871,None,Shared,2
91,0.14601226821159785,None,Shared,2
92,0.22912137968933116,None,Shared,2
93,0.24251894244372782,None,Shared,2
94,0.20988542923025288,None,Shared,2
95,0.23486711302763544,None,Shared,2
96,0.25161898209294287,None,Shared,2
97,0.21578048299202518,None,Shared,2
98,0.2059516279882615,None,Shared,2
99,0.2078677594327124,None,Shared,2
100,0.18292984634987286,None,Shared,2
101,0.21358672388858435,None,Shared,3
102,0.1552405882974886,None,Shared,3
103,0.16456691424424985,None,Shared,3
104,0.14688910785098752,None,Shared,3
105,0.18993241622066817,None,Shared,3
106,0.16053652735448742,None,Shared,3
107,0.17110974379281804,None,Shared,3
108,0.15017093834421447,None,Shared,3
109,0.18643117467076586,None,Shared,3
110,0.1862213006605159,None,Shared,3
111,0.17753749412977038,None,Shared,3
112,0.1617167223220161,None,Shared,3
113,0.16498466532664724,None,Shared,3
114,0.13380885166927745,None,Shared,3
115,0.161782697746804,None,Shared,3
116,0.1649042918319883,None,Shared,3
117,0.19470515620799608,None,Shared,3
118,0.22990930392060382,None,Shared,3
119,0.17064387347641405,None,Shared,3
120,0.15328605864031028,None,Shared,3
121,0.18599071274102683,None,Shared,3
122,0.12613572382584765,None,Shared,3
123,0.1518247036424925,None,Shared,3
124,0.17661906894667073,None,Shared,3
125,0.17798455926125806,None,Shared,3
126,0.17563951972007252,None,Shared,3
127,0.14652124682137582,None,Shared,3
128,0.16391938438080994,None,Shared,3
129,0.13374742948660243,None,Shared,3
130,0.20003882093068867,None,Shared,3
131,0.16367537227805024,None,Shared,3
132,0.18228679644066412,None,Shared,3
133,0.1639816659324986,None,Shared,3
134,0.1604863577851554,None,Shared,3
135,0.1781042255463728,None,Shared,3
136,0.18351040378339906,None,Shared,3
137,0.142305846552482,None,Shared,3
138,0.1607105851882772,None,Shared,3
139,0.15271936042442458,None,Shared,3
140,0.13685278927048555,None,Shared,3
141,0.18298062166170412,None,Shared,3
142,0.21358933395478494,None,Shared,3
143,0.1842042251809756,None,Shared,3
144,0.13885078403648257,None,Shared,3
145,0.1778854129482363,None,Shared,3
146,0.1700799263859315,None,Shared,3
147,0.2248589589083342,None,Shared,3
148,0.18454133905431458,None,Shared,3
149,0.12715971413936764,None,Shared,3
150,0.21067097955246752,None,Shared,3
151,0.13392528512106575,None,Shared,4
152,0.16701866198320678,None,Shared,4
153,0.1494844303929912,None,Shared,4
154,0.12936369071244233,None,Shared,4
155,0.14604912903357442,None,Shared,4
156,0.17773328024811771,None,Shared,4
157,0.14640176845203076,None,Shared,4
158,0.13427350106237335,None,Shared,4
159,0.12391062487116118,None,Shared,4
160,0.13339506486742,None,Shared,4
161,0.12271089926723508,None,Shared,4
162,0.11575160687180074,None,Shared,4
163,0.1432067982608948,None,Shared,4
164,0.14873933744031728,None,Shared,4
165,0.13852075317857118,None,Shared,4
166,0.1590050188812728,None,Shared,4
167,0.12958295646446116,None,Shared,4
168,0.13992640776238516,None,Shared,4
169,0.11408397954925999,None,Shared,4
170,0.1450515911133145,None,Shared,4
171,0.14604043598537247,None,Shared,4
172,0.14432860953875223,None,Shared,4
173,0.12075505813406134,None,Shared,4
174,0.13953075686671795,None,Shared,4
175,0.12524303028807254,None,Shared,4
176,0.13382714232140658,None,Shared,4
177,0.13333264242966777,None,Shared,4
178,0.1287849120831406,None,Shared,4
179,0.11824280583689231,None,Shared,4
180,0.18129744501991651,None,Shared,4
181,0.12283156708255231,None,Shared,4
182,0.15959242380973387,None,Shared,4
183,0.13907045129571094,None,Shared,4
184,0.14041959138092572,None,Shared,4
185,0.1621931399057085,None,Shared,4
186,0.11179341039524904,None,Shared,4
187,0.12911176235837987,None,Shared,4
188,0.1394703108619697,None,Shared,4
189,0.14764039981915586,None,Shared,4
190,0.14400437011119022,None,Shared,4
191,0.12319484042145373,None,Shared,4
192,0.13633549791281807,None,Shared,4
193,0.13162769226451668,None,Shared,4
194,0.14141078160962595,None,Shared,4
195,0.11939798940427108,None,Shared,4
196,0.13596502951514655,None,Shared,4
197,0.12983675344241064,None,Shared,4
198,0.1328979731737452,None,Shared,4
199,0.13367984286124537,None,Shared,4
200,0.14147928180029878,None,Shared,4
1,0.24204487138982894,Pred,Individual,1
2,0.26765473743011525,Pred,Individual,1
3,0.24877970744321865,Pred,Individual,1
4,0.2526737137541572,Pred,Individual,1
5,0.26333372291018875,Pred,Individual,1
6,0.2637520280858947,Pred,Individual,1
7,0.22774700197492845,Pred,Individual,1
8,0.24895222895947802,Pred,Individual,1
9,0.2384942141688614,Pred,Individual,1
10,0.21350231623215374,Pred,Individual,1
11,0.2607557868177111,Pred,Individual,1
12,0.25546949324534046,Pred,Individual,1
13,0.23407777691629295,Pred,Individual,1
14,0.2641279147654646,Pred,Individual,1
15,0.26560361703116053,Pred,Individual,1
16,0.2542907185957898,Pred,Individual,1
17,0.24142893419126105,Pred,Individual,1
18,0.2685235401539454,Pred,Individual,1
19,0.24583575203040484,Pred,Individual,1
20,0.2625150937157338,Pred,Individual,1
21,0.2396017572737911,Pred,Individual,1
22,0.2690433627947141,Pred,Individual,1
23,0.24749154014894303,Pred,Individual,1
24,0.23851525909099183,Pred,Individual,1
25,0.24221006771436657,Pred,Individual,1
26,0.23985105866918893,Pred,Individual,1
27,0.21957891071488334,Pred,Individual,1
28,0.2608733896775206,Pred,Individual,1
29,0.22792908643790336,Pred,Individual,1
30,0.26662182233893633,Pred,Individual,1
31,0.23432291908594102,Pred,Individual,1
32,0.25662287406853984,Pred,Individual,1
33,0.2756759748668862,Pred,Individual,1
34,0.27310987900235023,Pred,Individual,1
35,0.2380293722999512,Pred,Individual,1
36,0.25357132171803864,Pred,Individual,1
37,0.22618783528813474,Pred,Individual,1
38,0.24099944998954448,Pred,Individual,1
39,0.23579258786503476,Pred,Individual,1
40,0.2550285167672738,Pred,Individual,1
41,0.24231034172234742,Pred,Individual,1
42,0.2589483163436265,Pred,Individual,1
43,0.26809390253569343,Pred,Individual,1
44,0.2137529384956376,Pred,Individual,1
45,0.24818786045976501,Pred,Individual,1
46,0.23681342803282163,Pred,Individual,1
47,0.256707892948501,Pred,Individual,1
48,0.23404623563444085,Pred,Individual,1
49,0.2537129435708232,Pred,Individual,1
50,0.23077995677876637,Pred,Individual,1
51,0.19744273159760817,Pred,Individual,2
52,0.20767017481552724,Pred,Individual,2
53,0.218355894338281,Pred,Individual,2
54,0.22508204183564368,Pred,Individual,2
55,0.21984270527736866,Pred,Individual,2
56,0.24309289412660137,Pred,Individual,2
57,0.22459777983941145,Pred,Individual,2
58,0.21273807614807358,Pred,Individual,2
59,0.22744793392857368,Pred,Individual,2
60,0.24843758056430731,Pred,Individual,2
61,0.25278252665989515,Pred,Individual,2
62,0.23144972638222938,Pred,Individual,2
63,0.23500672083999774,Pred,Individual,2
64,0.23538469948342397,Pred,Individual,2
65,0.2273026921676485,Pred,Individual,2
66,0.2085526199999405,Pred,Individual,2
67,0.2361008401916437,Pred,Individual,2
68,0.22513634656280967,Pred,Individual,2
69,0.19239598866251534,Pred,Individual,2
70,0.21036279744485373,Pred,Individual,2
71,0.22768313586488093,Pred,Individual,2
72,0.24919123103602164,Pred,Individual,2
73,0.22597797605292505,Pred,Individual,2
74,0.21824787664197065,Pred,Individual,2
75,0.20840311113889246,Pred,Individual,2
76,0.21488009785256446,Pred,Individual,2
77,0.23919752528142604,Pred,Individual,2
78,0.2392640202316328,Pred,Individual,2
79,0.20977763017623743,Pred,Individual,2
80,0.19426923028684293,Pred,Individual,2
81,0.22214283144884767,Pred,Individual,2
82,0.20959539484016415,Pred,Individual,2
83,0.22970275730866857,Pred,Individual,2
84,0.23103606570631327,Pred,Individual,2
85,0.2239054094491612,Pred,Individual,2
86,0.21203985244364476,Pred,Individual,2
87,0.23314393236807696,Pred,Individual,2
88,0.24169801315153247,Pred,Individual,2
89,0.21812745332749847,Pred,Individual,2
90,0.19587505690850784,Pred,Individual,2
91,0.17141161641337155,Pred,Individual,2
92,0.2196928069999221,Pred,Individual,2
93,0.2114690786133166,Pred,Individual,2
94,0.23327130444211977,Pred,Individual,2
95,0.22594314817027364,Pred,Individual,2
96,0.20806950988494313,Pred,Individual,2
97,0.23553197614279553,Pred,Individual,2
98,0.22682882516363972,Pred,Individual,2
99,0.21079635306709874,Pred,Individual,2
100,0.22553454335452267,Pred,Individual,2
101,0.18065995825545317,Pred,Individual,3
102,0.2223750344724049,Pred,Individual,3
103,0.2040439470053498,Pred,Individual,3
104,0.20069507705476694,Pred,Individual,3
105,0.20039008797002128,Pred,Individual,3
106,0.18901456736816424,Pred,Individual,3
107,0.18218757199652202,Pred,Individual,3
108,0.182088025730623,Pred,Individual,3
109,0.19482404320585203,Pred,Individual,3
110,0.19664090273713686,Pred,Individual,3
111,0.1901192471203704,Pred,Individual,3
112,0.1995481020059337,Pred,Individual,3
113,0.20124817341132625,Pred,Individual,3
114,0.17678409578336088,Pred,Individual,3
115,0.19338961075919764,Pred,Individual,3
116,0.2199158797196541,Pred,Individual,3
117,0.1932211697110967,Pred,Individual,3
118,0.20603599502185774,Pred,Individual,3
119,0.22210263774821148,Pred,Individual,3
120,0.1870602015121664,Pred,Individual,3
121,0.19156616636369178,Pred,Individual,3
122,0.18891434755641123,Pred,Individual,3
123,0.19276523044279764,Pred,Individual,3
124,0.17020298256937527,Pred,Individual,3
125,0.22513199050506863,Pred,Individual,3
126,0.18146699952384038,Pred,Individual,3
127,0.19162387936492373,Pred,Individual,3
128,0.2283484011011479,Pred,Individual,3
129,0.22111560167498862,Pred,Individual,3
130,0.2326170537497454,Pred,Individual,3
131,0.1906053553701414,Pred,Individual,3
132,0.18369632318857695,Pred,Individual,3
133,0.18999787872506863,Pred,Individual,3
134,0.19271845188721945,Pred,Individual,3
135,0.18974574430287475,Pred,Individual,3
136,0.18979648245565,Pred,Individual,3
137,0.22697267159740095,Pred,Individual,3
138,0.19314769055963055,Pred,Individual,3
139,0.19905956494393726,Pred,Individual,3
140,0.18284735375551048,Pred,Individual,3
141,0.1942108289538164,Pred,Individual,3
142,0.19089467779156902,Pred,Individual,3
143,0.14380305982720012,Pred,Individual,3
144,0.1739645628063837,Pred,Individual,3
