behaviorSpaceRun,componentID,members,terr,mem,numPred,meanDist
110,1,,None,Individual,3,0.04271873125456781
110,2,,None,Individual,3,2.723994618705963
110,3,,None,Individual,3,NA
110,4,,None,Individual,3,NA
111,1,,None,Individual,3,NA
111,2,,None,Individual,3,2.226532851263875
111,3,,None,Individual,3,1.1884900753956882
111,4,,None,Individual,3,0.661541746178953
111,5,,None,Individual,3,1.3733127830177645
111,6,,None,Individual,3,NA
112,1,,None,Individual,3,5.022428196330293
112,2,,None,Individual,3,NA
112,3,,None,Individual,3,NA
112,4,,None,Individual,3,0.7825503865533912
112,5,,None,Individual,3,NA
112,6,,None,Individual,3,NA
112,7,,None,Individual,3,NA
113,1,,None,Individual,3,21.854036921513384
113,2,,None,Individual,3,1.9427655475040195
113,3,,None,Individual,3,0.0295149114855538
114,1,,None,Individual,3,1.128789292403865
114,2,,None,Individual,3,2.7873061936983734
114,3,,None,Individual,3,0.9518880842488701
115,1,,None,Individual,3,0.2816249890900013
115,2,,None,Individual,3,0.6230493486449078
115,3,,None,Individual,3,0.8597575185927923
115,4,,None,Individual,3,34.99494182714817
115,5,,None,Individual,3,0.5524187616436679
115,6,,None,Individual,3,0.9387128566219466
116,1,,None,Individual,3,1.4197338711107763
116,2,,None,Individual,3,0.93036587960424455
116,3,,None,Individual,3,0.3700556985103724
117,1,,None,Individual,3,0.732117435934973
117,2,,None,Individual,3,NA
117,3,,None,Individual,3,NA
117,4,,None,Individual,3,NA
117,5,,None,Individual,3,0.4940927309118951
117,6,,None,Individual,3,NA
117,7,,None,Individual,3,1.666592785884781
117,8,,None,Individual,3,0.8935453237939145
117,9,,None,Individual,3,45.97939148772558
118,1,,None,Individual,3,1.9970928572650257
118,2,,None,Individual,3,5.257541460021012
118,3,,None,Individual,3,6.070684547405466
119,1,,None,Individual,3,2.6677893357830125
119,2,,None,Individual,3,10.087051935057344
120,1,,None,Individual,3,2.8386184148477818
120,2,,None,Individual,3,4.938444185166011
120,3,,None,Individual,3,3.4994700249681667
121,1,,None,Individual,3,2.222950986155835
121,2,,None,Individual,3,0.6375146828566747
121,3,,None,Individual,3,1.1706335764973472
121,4,,None,Individual,3,84.98756996749583
122,1,,None,Individual,3,5.901164506809988
122,2,,None,Individual,3,1.3195909393890484
122,3,,None,Individual,3,7.183424434632336
123,1,,None,Individual,3,0.8236050678292443
123,2,,None,Individual,3,NA
123,3,,None,Individual,3,0.48761376200060536
123,4,,None,Individual,3,4.94229228614156
123,5,,None,Individual,3,3.909463243889098
123,6,,None,Individual,3,NA
124,1,,None,Individual,3,0.4526524010460825
124,2,,None,Individual,3,1.1496951227973051
124,3,,None,Individual,3,51.66721164785578
124,4,,None,Individual,3,3.418234748856941
125,1,,None,Individual,3,1.7507056805822852
125,2,,None,Individual,3,8.937762533172688
125,3,,None,Individual,3,0.8926724483258144
126,1,,None,Individual,3,9.976018088075794
126,2,,None,Individual,3,0.13458562330352897
127,1,,None,Individual,3,NA
127,2,,None,Individual,3,NA
127,3,,None,Individual,3,NA
127,4,,None,Individual,3,1.7264167862447342
127,5,,None,Individual,3,NA
127,6,,None,Individual,3,NA
127,7,,None,Individual,3,2.236162966057665
128,1,,None,Individual,3,3.8230599760843615
128,2,,None,Individual,3,7.055434953323494
128,3,,None,Individual,3,0.4403546298155593
129,1,,None,Individual,3,9.035631791813405
129,2,,None,Individual,3,14.053287596542884
130,1,,None,Individual,3,16.7510471573116
130,2,,None,Individual,3,2.458139414406189
131,1,,None,Individual,3,1.9448192866609617
131,2,,None,Individual,3,1.1048716829674863
131,3,,None,Individual,3,59.34494561468567
132,1,,None,Individual,3,2.501169321227508
132,2,,None,Individual,3,13.878364665130196
132,3,,None,Individual,3,0.6744016248851291
133,1,,None,Individual,3,2.5441986717918272
133,2,,None,Individual,3,20.736108442491513
134,1,,None,Individual,3,1.0118110681597154
134,2,,None,Individual,3,59.280281602361065
134,3,,None,Individual,3,1.3872277147302832
134,4,,None,Individual,3,4.4170307928627475
134,5,,None,Individual,3,8.377322341297365
135,1,,None,Individual,3,25.163547757766416
135,2,,None,Individual,3,4.501957559933202
136,1,,None,Individual,3,1.1150165608644784
136,2,,None,Individual,3,1.2580287343809984
136,3,,None,Individual,3,1.3885143968383589
136,4,,None,Individual,3,77.52584052430518
137,1,,None,Individual,3,2.814021189267164
137,2,,None,Individual,3,51.70826057719802
137,3,,None,Individual,3,1.5346542022496195
138,1,,None,Individual,3,6.975468373738339
138,2,,None,Individual,3,8.687420297660353
139,1,,None,Individual,3,54.47023116014579
139,2,,None,Individual,3,2.3687806659575705
139,3,,None,Individual,3,1.0303399526155221
139,4,,None,Individual,3,0.5771720504658581
139,5,,None,Individual,3,0.1928708635330871
140,1,,None,Individual,3,2.081308845046807
140,2,,None,Individual,3,1.584720548672336
140,3,,None,Individual,3,0.7454442304736228
140,4,,None,Individual,3,NA
140,5,,None,Individual,3,NA
140,6,,None,Individual,3,NA
141,1,,None,Individual,3,2.260551188999923
141,2,,None,Individual,3,1.4287241903807912
142,1,,None,Individual,3,4.338509860219675
142,2,,None,Individual,3,1.5339950780765461
143,1,,None,Individual,3,10.21348260063344
143,2,,None,Individual,3,0.05749478237196952
144,1,,None,Individual,3,NA
144,2,,None,Individual,3,5.047155460618585
144,3,,None,Individual,3,0.16712525243062554
144,4,,None,Individual,3,0.3818424417241136
144,5,,None,Individual,3,NA
144,6,,None,Individual,3,1.3610893960067165
144,7,,None,Individual,3,NA
145,1,,None,Individual,3,26.57917522146659
145,2,,None,Individual,3,2.6194343576078345
146,1,,None,Individual,3,0.46807603307341167
146,2,,None,Individual,3,0.618146638027813
146,3,,None,Individual,3,1.8264650212503364
146,4,,None,Individual,3,0.43377262477016615
146,5,,None,Individual,3,0.7294147203178788
146,6,,None,Individual,3,NA
146,7,,None,Individual,3,NA
146,8,,None,Individual,3,NA
147,1,,None,Individual,3,1.8481208549838932
147,2,,None,Individual,3,0.6404353820087254
147,3,,None,Individual,3,50.53685010376092
147,4,,None,Individual,3,1.726235808833895
148,1,,None,Individual,3,2.231916666698438
148,2,,None,Individual,3,2.4907787417617957
148,3,,None,Individual,3,1.3395151662893536
149,1,,None,Individual,3,2.600455201561399
149,2,,None,Individual,3,0.7820572560881103
149,3,,None,Individual,3,31.77575755145258
149,4,,None,Individual,3,NA
150,1,,None,Individual,3,0.7881932551715444
150,2,,None,Individual,3,3.9405598420372474
150,3,,None,Individual,3,35.39328454707928
150,4,,None,Individual,3,3.170338459177117
151,1,,None,Individual,4,10.879095713975873
151,2,,None,Individual,4,4.0526472876049695
152,1,,None,Individual,4,14.842635787294954
152,2,,None,Individual,4,1.3416152124471505
152,3,,None,Individual,4,0.8005920679968812
153,1,,None,Individual,4,7.531241854346862
153,2,,None,Individual,4,1.7759763127372061
153,3,,None,Individual,4,2.091335365263068
153,4,,None,Individual,4,NA
154,1,,None,Individual,4,20.00758320304749
154,2,,None,Individual,4,3.0033204489751437
154,3,,None,Individual,4,0.6450342081378987
155,1,,None,Individual,4,10.236994488058551
155,2,,None,Individual,4,1.7242938212363685
155,3,,None,Individual,4,1.3965446148299612
156,1,,None,Individual,4,13.297494479321651
156,2,,None,Individual,4,0.9985099581428787
157,1,,None,Individual,4,1.7133978873196778
157,2,,None,Individual,4,0.8226947107399286
157,3,,None,Individual,4,NA
157,4,,None,Individual,4,NA
157,5,,None,Individual,4,NA
157,6,,None,Individual,4,4.3811200508905594
157,7,,None,Individual,4,NA
158,1,,None,Individual,4,27.137985259013963
158,2,,None,Individual,4,1.9311603466181149
159,1,,None,Individual,4,1.4474441462014345
159,2,,None,Individual,4,15.538812955814388
159,3,,None,Individual,4,0.5998979465649905
159,4,,None,Individual,4,NA
160,1,,None,Individual,4,1.2011450041005551
160,2,,None,Individual,4,1.4163316838243571
160,3,,None,Individual,4,1.6885480113211664
160,4,,None,Individual,4,73.681107851131
161,1,,None,Individual,4,2.195670092155282
161,2,,None,Individual,4,24.742138236997203
161,3,,None,Individual,4,3.8680216465816213
161,4,,None,Individual,4,NA
161,5,,None,Individual,4,NA
162,1,,None,Individual,4,0.839742250905547
162,2,,None,Individual,4,1.6746540612937972
162,3,,None,Individual,4,15.548244027798656
162,4,,None,Individual,4,0.07326022112988932
163,1,,None,Individual,4,1.152210348639681
163,2,,None,Individual,4,1.5114182818241633
163,3,,None,Individual,4,NA
163,4,,None,Individual,4,1.7781998303115158
163,5,,None,Individual,4,NA
163,6,,None,Individual,4,NA
164,1,,None,Individual,4,1.4391472917965573
164,2,,None,Individual,4,0.6533534936818389
164,3,,None,Individual,4,1.9770943797787215
164,4,,None,Individual,4,NA
165,1,,None,Individual,4,2.36567229432387
165,2,,None,Individual,4,NA
165,3,,None,Individual,4,0.02573907535246704
165,4,,None,Individual,4,NA
166,1,,None,Individual,4,21.43959015044293
166,2,,None,Individual,4,0.6604418343910748
166,3,,None,Individual,4,26.671284986274102
166,4,,None,Individual,4,0.17744463925404763
167,1,,None,Individual,4,24.163365109154192
167,2,,None,Individual,4,0.10904677895289176
167,3,,None,Individual,4,3.8919178089062543
168,1,,None,Individual,4,0.7706289010497842
168,2,,None,Individual,4,20.687324858412
168,3,,None,Individual,4,0.7077207411872016
169,1,,None,Individual,4,1.1819295197760253
169,2,,None,Individual,4,8.155682212686163
169,3,,None,Individual,4,2.2662934203579983
170,1,,None,Individual,4,32.19795675655258
170,2,,None,Individual,4,2.0903942283478756
170,3,,None,Individual,4,2.047009684870037
170,4,,None,Individual,4,0.08297674372979215
171,1,,None,Individual,4,64.5802635619623
171,2,,None,Individual,4,1.7719208145474907
171,3,,None,Individual,4,1.89149646042646
172,1,,None,Individual,4,2.139149637386704
172,2,,None,Individual,4,1.3383341779342344
172,3,,None,Individual,4,1.4686158465631043
