"","behaviorSpaceRun","tick","compID","mean_within_dist","n_pairs","numPred"
"371","2",300,5,0.641105896088938,1,1
"372","2",350,1,2.90200637062038,15,1
"373","2",350,2,2.69833579166262,6,1
"374","2",350,3,2.47491854948026,6,1
"375","2",400,1,3.11438556162015,28,1
"376","2",400,2,2.53396143556455,6,1
"377","2",400,3,2.33147482633467,6,1
"378","2",450,1,2.76548458615269,29,1
"379","2",450,2,2.56797061262036,6,1
"380","2",450,3,2.27148466148789,6,1
"381","2",500,1,2.75563840239728,30,1
"382","2",500,2,2.40696525148562,6,1
"383","2",500,3,2.20482476903003,6,1
"384","2",550,1,3.00182683256912,32,1
"385","2",550,2,2.23937740562211,6,1
"386","2",550,3,2.8812525832986,8,1
"387","2",600,1,3.19601703742103,47,1
"388","2",600,2,2.05820337152473,6,1
"389","2",650,1,3.35381812786086,95,1
"390","2",650,2,1.92361262340665,6,1
"391","2",700,1,2.58472894953558,101,1
"392","2",750,1,2.63820236662945,107,1
"393","2",800,1,2.63969480084618,103,1
"394","2",800,2,1.52795942616108,3,1
"395","2",850,1,2.58252819890875,107,1
"396","2",900,1,2.10853382018642,90,1
"397","2",900,2,0.351757331124739,1,1
"398","2",900,3,1.32598613142266,3,1
"399","2",950,1,2.31356804752559,100,1
"400","2",950,2,1.30071670990206,3,1
"401","2",1000,1,1.92334929446157,86,1
"402","2",1000,2,0.500600639232508,1,1
"403","2",1000,3,1.20985482776294,3,1
"404","2",1050,1,2.5248332859326,112,1
"405","2",1050,2,1.0040711157977,3,1
"406","2",1100,1,2.44660352433583,91,1
"407","2",1100,2,1.76353244943876,6,1
"408","2",1100,3,4.96973102893909,1,1
"409","2",1150,1,2.29459036468291,106,1
"410","2",1150,2,1.74381766688759,6,1
"411","2",1200,1,2.47632001698368,105,1
"412","2",1200,2,1.56003952560917,6,1
"413","2",1250,1,2.21998703854063,107,1
"414","2",1250,2,1.27134869163018,6,1
"415","2",1300,1,2.19053454581709,106,1
"416","2",1300,2,1.17899781890914,6,1
"417","2",1350,1,2.59332299239993,101,1
"418","2",1350,2,1.12207381971177,6,1
"419","2",1400,1,2.39740290643664,104,1
"420","2",1400,2,0.974413440144019,6,1
"421","2",1450,1,2.26977510854797,92,1
"422","2",1450,2,0.940855300613958,6,1
"423","2",1500,1,2.41120373321464,92,1
"424","2",1500,2,0.72573738051684,6,1
"425","2",1550,1,2.01703002423824,91,1
"426","2",1550,2,0.601115283159956,6,1
"427","2",1550,3,3.202026790956,1,1
"428","2",1600,1,2.10436204566343,89,1
"429","2",1600,2,0.860250845154757,6,1
"430","2",1600,3,2.93953304114786,1,1
"431","2",1650,1,2.16384961835816,91,1
"432","2",1650,2,0.700896563600581,6,1
"433","2",1650,3,2.56377370491235,1,1
"434","2",1700,1,2.59263444537587,108,1
"435","2",1700,2,2.22522930503802,1,1
"436","2",1750,1,2.88446399878662,107,1
"437","2",1750,2,0.78210654645003,1,1
"438","2",1750,3,2.03254181998797,1,1
"439","2",1800,1,3.14497863665161,143,1
"440","2",1800,2,1.73596795189313,1,1
"441","2",1850,1,2.86823826479318,152,1
"442","2",1850,2,1.53563031032863,1,1
"443","2",1900,1,2.70895138284995,153,1
"444","2",1900,2,1.4669792943324,1,1
"445","2",1950,1,2.68438377329204,150,1
"446","2",1950,2,1.42545676188371,1,1
"447","2",2000,1,2.67583458743312,148,1
"448","2",2000,2,1.37944100635003,1,1
"449","2",2050,1,2.13566867036417,153,1
"450","2",2050,2,1.33244752617129,1,1
"451","2",2100,1,2.30840615877574,151,1
"452","2",2100,2,1.28521812156536,1,1
"453","2",2150,1,1.27815209890773,36,1
"454","2",2150,2,1.01958031329877,3,1
"455","2",2150,3,2.11445797396354,15,1
"456","2",2150,4,1.24530549665534,1,1
"457","2",2200,1,2.52872214439993,150,1
"458","2",2200,2,1.19351876399159,1,1
"459","2",2250,1,2.41940711245996,151,1
"460","2",2250,2,1.14819062006271,1,1
"461","2",2300,1,2.39162043188203,152,1
"462","2",2300,2,1.10273954313791,1,1
"463","2",2350,1,2.61761884356476,145,1
"464","2",2350,2,1.07138423546363,1,1
"465","2",2400,1,2.56810447118587,142,1
"466","2",2400,2,1.02637087351503,1,1
"467","2",2450,1,2.68631883636383,131,1
"468","2",2450,2,0.992690989180425,1,1
"469","2",2500,1,2.16915241618819,137,1
"470","2",2500,2,0.955333993951854,1,1
"471","2",2550,1,2.62556974442298,135,1
"472","2",2550,2,0.936196779528745,1,1
"473","2",2600,1,2.39700876495519,128,1
"474","2",2600,2,0.908637006730409,1,1
"475","2",2650,1,2.6269032732736,116,1
"476","2",2650,2,0.872340650204954,1,1
