"","numPred","behaviorSpaceRun","tick","compID","compSize"
"359",1,"1",7300,2,15
"360",1,"1",7300,3,3
"361",1,"1",7350,1,2
"362",1,"1",7350,2,15
"363",1,"1",7350,3,3
"364",1,"1",7400,1,2
"365",1,"1",7400,2,15
"366",1,"1",7400,3,3
"367",1,"1",7450,1,2
"368",1,"1",7450,2,15
"369",1,"1",7450,3,3
"370",1,"1",7500,1,2
"371",1,"1",7500,2,15
"372",1,"1",7500,3,3
"373",1,"1",7550,1,5
"374",1,"1",7550,2,15
"375",1,"1",7600,1,4
"376",1,"1",7600,2,15
"377",1,"1",7650,1,4
"378",1,"1",7650,2,14
"379",1,"1",7700,1,4
"380",1,"1",7700,2,16
"381",1,"1",7750,1,4
"382",1,"1",7750,2,10
"383",1,"1",7750,3,6
"384",1,"1",7800,1,4
"385",1,"1",7800,2,10
"386",1,"1",7800,3,6
"387",1,"1",7850,1,4
"388",1,"1",7850,2,10
"389",1,"1",7850,3,6
"390",1,"1",7900,1,12
"391",1,"1",7900,2,6
"392",1,"1",7900,3,2
"393",1,"1",7950,1,14
"394",1,"1",7950,2,6
"395",1,"1",8000,1,14
"396",1,"1",8000,2,6
"397",1,"1",8050,1,14
"398",1,"1",8050,2,6
"399",1,"1",8100,1,14
"400",1,"1",8100,2,6
"401",1,"1",8150,1,14
"402",1,"1",8150,2,6
"403",1,"1",8200,1,10
"404",1,"1",8200,2,6
"405",1,"1",8200,3,4
"406",1,"1",8250,1,14
"407",1,"1",8250,2,6
"408",1,"1",8300,1,14
"409",1,"1",8300,2,6
"410",1,"1",8350,1,13
"411",1,"1",8350,2,6
"412",1,"1",8400,1,13
"413",1,"1",8400,2,6
"414",1,"1",8450,1,13
"415",1,"1",8450,2,6
"416",1,"1",8500,1,19
"417",1,"1",8550,1,16
"418",1,"1",8550,2,3
"419",1,"1",8600,1,16
"420",1,"1",8600,2,2
"421",1,"1",8650,1,16
"422",1,"1",8650,2,3
"423",1,"1",8700,1,16
"424",1,"1",8700,2,3
"425",1,"1",8750,1,16
"426",1,"1",8750,2,3
"427",1,"1",8800,1,16
"428",1,"1",8800,2,4
"429",1,"1",8850,1,17
"430",1,"1",8850,2,3
"431",1,"1",8900,1,16
"432",1,"1",8900,2,4
"433",1,"1",8950,1,16
"434",1,"1",8950,2,4
"435",1,"1",9000,1,16
"436",1,"1",9000,2,4
"437",1,"1",9050,1,16
"438",1,"1",9050,2,4
"439",1,"1",9100,1,16
"440",1,"1",9100,2,4
"441",1,"1",9150,1,16
"442",1,"1",9150,2,4
"443",1,"1",9200,1,16
"444",1,"1",9200,2,4
"445",1,"1",9250,1,16
"446",1,"1",9250,2,4
"447",1,"1",9300,1,16
"448",1,"1",9300,2,4
"449",1,"1",9350,1,16
"450",1,"1",9350,2,4
"451",1,"1",9400,1,16
"452",1,"1",9400,2,4
"453",1,"1",9450,1,16
"454",1,"1",9450,2,4
"455",1,"1",9500,1,15
"456",1,"1",9500,2,4
"457",1,"1",9550,1,16
"458",1,"1",9550,2,4
"459",1,"1",9600,1,16
"460",1,"1",9600,2,4
"461",1,"1",9650,1,20
"462",1,"1",9700,1,19
"463",1,"1",9750,1,20
"464",1,"1",9800,1,20
"465",1,"1",9850,1,20
"466",1,"1",9900,1,20
"467",1,"1",9950,1,20
"468",1,"2",0,1,2
"469",1,"2",0,2,2
"470",1,"2",50,1,2
"471",1,"2",50,2,3
"472",1,"2",50,3,2
"473",1,"2",50,4,2
"474",1,"2",50,5,2
"475",1,"2",100,1,3
"476",1,"2",100,2,2
"477",1,"2",100,3,3
"478",1,"2",100,4,2
"479",1,"2",150,1,3
"480",1,"2",150,2,2
"481",1,"2",150,3,3
"482",1,"2",150,4,2
"483",1,"2",150,5,2
"484",1,"2",150,6,2
"485",1,"2",200,1,2
"486",1,"2",200,2,8
"487",1,"2",200,3,2
"488",1,"2",200,4,2
"489",1,"2",200,5,2
"490",1,"2",250,1,8
"491",1,"2",250,2,8
"492",1,"2",250,3,2
"493",1,"2",300,1,9
"494",1,"2",300,2,8
"495",1,"2",300,3,2
"496",1,"2",350,1,9
"497",1,"2",350,2,10
"498",1,"2",400,1,9
