"","numPred","behaviorSpaceRun","tick","compID","compSize"
"360",1,"2",450,4,8
"361",1,"2",500,1,2
"362",1,"2",500,2,2
"363",1,"2",500,3,8
"364",1,"2",500,4,8
"365",1,"2",550,1,2
"366",1,"2",550,2,2
"367",1,"2",550,3,8
"368",1,"2",550,4,8
"369",1,"2",600,1,2
"370",1,"2",600,2,2
"371",1,"2",600,3,8
"372",1,"2",600,4,8
"373",1,"2",650,1,2
"374",1,"2",650,2,2
"375",1,"2",650,3,4
"376",1,"2",650,4,4
"377",1,"2",650,5,8
"378",1,"2",700,1,2
"379",1,"2",700,2,2
"380",1,"2",700,3,6
"381",1,"2",700,4,8
"382",1,"2",700,5,2
"383",1,"2",750,1,2
"384",1,"2",750,2,2
"385",1,"2",750,3,14
"386",1,"2",750,4,2
"387",1,"2",800,1,4
"388",1,"2",800,2,16
"389",1,"2",850,1,4
"390",1,"2",850,2,16
"391",1,"2",900,1,4
"392",1,"2",900,2,16
"393",1,"2",950,1,4
"394",1,"2",950,2,9
"395",1,"2",950,3,7
"396",1,"2",1000,1,4
"397",1,"2",1000,2,7
"398",1,"2",1000,3,8
"399",1,"2",1050,1,4
"400",1,"2",1050,2,15
"401",1,"2",1100,1,4
"402",1,"2",1100,2,15
"403",1,"2",1150,1,4
"404",1,"2",1150,2,15
"405",1,"2",1200,1,4
"406",1,"2",1200,2,8
"407",1,"2",1200,3,8
"408",1,"2",1250,1,4
"409",1,"2",1250,2,13
"410",1,"2",1250,3,3
"411",1,"2",1300,1,4
"412",1,"2",1300,2,16
"413",1,"2",1350,1,8
"414",1,"2",1350,2,12
"415",1,"2",1400,1,20
"416",1,"2",1450,1,11
"417",1,"2",1450,2,9
"418",1,"2",1500,1,20
"419",1,"2",1550,1,20
"420",1,"2",1600,1,4
"421",1,"2",1600,2,16
"422",1,"2",1650,1,20
"423",1,"2",1700,1,20
"424",1,"2",1750,1,20
"425",1,"2",1800,1,20
"426",1,"2",1850,1,19
"427",1,"2",1900,1,14
"428",1,"2",1900,2,6
"429",1,"2",1950,1,12
"430",1,"2",1950,2,8
"431",1,"2",2000,1,12
"432",1,"2",2000,2,8
"433",1,"2",2050,1,12
"434",1,"2",2050,2,8
"435",1,"2",2100,1,7
"436",1,"2",2100,2,13
"437",1,"2",2150,1,7
"438",1,"2",2150,2,13
"439",1,"2",2200,1,7
"440",1,"2",2200,2,13
"441",1,"2",2250,1,7
"442",1,"2",2250,2,13
"443",1,"2",2300,1,5
"444",1,"2",2300,2,15
"445",1,"2",2350,1,18
"446",1,"2",2350,2,2
"447",1,"2",2400,1,19
"448",1,"2",2450,1,19
"449",1,"2",2500,1,19
"450",1,"2",2550,1,19
"451",1,"2",2600,1,19
"452",1,"2",2650,1,19
"453",1,"2",2700,1,19
"454",1,"2",2750,1,19
"455",1,"2",2800,1,18
"456",1,"2",2850,1,19
"457",1,"2",2900,1,19
"458",1,"2",2950,1,19
"459",1,"2",3000,1,19
"460",1,"2",3050,1,19
"461",1,"2",3100,1,19
"462",1,"2",3150,1,19
"463",1,"2",3200,1,19
"464",1,"2",3250,1,20
"465",1,"2",3300,1,20
"466",1,"2",3350,1,20
"467",1,"2",3400,1,20
"468",1,"2",3450,1,15
"469",1,"2",3450,2,4
"470",1,"2",3500,1,20
"471",1,"2",3550,1,6
"472",1,"2",3550,2,7
"473",1,"2",3550,3,7
"474",1,"2",3600,1,6
"475",1,"2",3600,2,7
"476",1,"2",3600,3,7
"477",1,"2",3650,1,6
"478",1,"2",3650,2,5
"479",1,"2",3650,3,9
"480",1,"2",3700,1,6
"481",1,"2",3700,2,12
"482",1,"2",3700,3,2
"483",1,"2",3750,1,6
"484",1,"2",3750,2,14
"485",1,"2",3800,1,19
"486",1,"2",3850,1,19
"487",1,"2",3900,1,13
"488",1,"2",3900,2,6
"489",1,"2",3950,1,20
"490",1,"2",4000,1,20
"491",1,"2",4050,1,19
"492",1,"2",4100,1,19
"493",1,"2",4150,1,19
"494",1,"2",4200,1,20
"495",1,"2",4250,1,20
"496",1,"2",4300,1,20
"497",1,"2",4350,1,20
"498",1,"2",4400,1,20
"499",1,"2",4450,1,20
